,Open,High,Low,Close,Volume
2010-08-01 00:00:00,14.85,15.8,12.4,12.55,20242585
2010-09-01 00:00:00,12.75,14.1,10.25,11.2,51829275
2010-10-01 00:00:00,11.2,12.9,11.2,11.5,13222028
2010-11-01 00:00:00,11.55,14.1,9.8,10.7,18672702
2010-12-01 00:00:00,10.9,11.6,9.3,11.0,8193195
2011-01-01 00:00:00,11.1,11.5,7.8,8.35,4620594
2011-02-01 00:00:00,8.5,9.2,6.75,7.45,4871199
2011-03-01 00:00:00,7.55,7.9,6.8,7.25,4550562
2011-04-01 00:00:00,7.45,10.45,7.3,7.7,7749049
2011-05-01 00:00:00,7.9,7.9,6.7,6.95,1504520
2011-06-01 00:00:00,7.2,7.7,6.65,6.9,1811055
2011-07-01 00:00:00,6.95,7.95,6.8,6.85,3484214
2011-08-01 00:00:00,6.9,7.0,4.9,5.5,3148504
2011-09-01 00:00:00,5.6,6.35,5.1,5.35,1973621
2011-10-01 00:00:00,5.15,5.95,4.85,5.5,2473745
2011-11-01 00:00:00,5.55,6.0,4.15,4.35,2204037
2011-12-01 00:00:00,4.4,4.9,3.65,3.9,1394017
2012-01-01 00:00:00,4.05,5.6,3.75,4.7,2220647
2012-02-01 00:00:00,4.8,5.5,4.7,5.0,1475405
2012-03-01 00:00:00,5.25,5.3,4.0,4.2,1582866
2012-04-01 00:00:00,4.05,5.0,4.0,4.1,1295475
2012-05-01 00:00:00,4.1,4.2,3.5,3.65,1260294
2012-06-01 00:00:00,3.75,4.15,3.55,4.05,1121150
2012-07-01 00:00:00,4.05,5.8,3.9,4.3,3739948
2012-08-01 00:00:00,4.15,4.5,3.65,3.85,782111
2012-09-01 00:00:00,3.95,4.35,3.55,4.1,1320379
2012-10-01 00:00:00,4.1,4.75,3.95,4.0,2235240
2012-11-01 00:00:00,4.1,7.6,3.9,6.0,14652931
2012-12-01 00:00:00,6.0,6.8,4.7,4.95,4556712
2013-01-01 00:00:00,5.0,5.75,4.4,4.55,1183104
2013-02-01 00:00:00,4.55,4.65,3.5,3.7,1036589
2013-03-01 00:00:00,3.65,4.6,3.2,3.4,1207515
2013-04-01 00:00:00,3.6,4.05,3.15,3.35,1101809
2013-05-01 00:00:00,3.35,5.25,3.3,3.65,6053572
2013-06-01 00:00:00,3.65,3.7,3.1,3.4,1275979
2013-07-01 00:00:00,3.3,3.85,3.15,3.15,1197651
2013-08-01 00:00:00,3.3,3.55,2.85,2.95,1520843
2013-09-01 00:00:00,3.0,3.4,2.85,2.9,1344555
2013-10-01 00:00:00,3.0,3.2,2.4,3.0,3662959
2013-11-01 00:00:00,2.95,3.2,2.8,2.8,1871781
2013-12-01 00:00:00,2.85,3.2,2.5,2.95,2178310
2014-01-01 00:00:00,3.15,3.25,2.25,2.5,6019769
2014-02-01 00:00:00,2.4,2.55,2.3,2.35,906680
2014-03-01 00:00:00,2.4,2.8,2.05,2.3,1983874
2014-04-01 00:00:00,2.35,3.05,2.35,2.7,2355969
2014-05-01 00:00:00,2.7,5.0,2.45,4.45,13078320
2014-06-01 00:00:00,4.6,5.15,3.9,4.4,5484760
2014-07-01 00:00:00,4.5,4.6,3.45,3.6,2097086
2014-08-01 00:00:00,3.7,3.9,3.1,3.4,1747443
2014-09-01 00:00:00,3.45,4.7,3.25,4.05,7480995
2014-10-01 00:00:00,4.05,4.1,3.35,3.6,2038493
2014-11-01 00:00:00,3.6,4.0,3.25,3.5,1828781
2014-12-01 00:00:00,3.5,3.5,2.6,2.95,1474711
2015-01-01 00:00:00,2.9,3.55,2.9,3.15,1749408
2015-02-01 00:00:00,3.1,4.2,2.85,3.75,3902925
2015-03-01 00:00:00,3.6,3.85,2.5,2.9,2288137
2015-04-01 00:00:00,3.05,3.8,2.85,3.0,1743663
2015-05-01 00:00:00,3.0,3.2,2.8,3.05,1157880
2015-06-01 00:00:00,2.95,3.3,2.35,3.15,2208979
2015-07-01 00:00:00,3.1,3.25,2.5,2.95,1782287
2015-08-01 00:00:00,3.0,3.6,2.4,2.7,2712404
2015-09-01 00:00:00,2.7,2.85,2.35,2.55,1155751
2015-10-01 00:00:00,2.5,3.45,2.45,2.8,2948815
2015-11-01 00:00:00,2.85,2.95,2.35,2.95,2709728
2015-12-01 00:00:00,2.95,4.2,2.8,3.75,10738329
2016-01-01 00:00:00,3.85,5.55,3.65,4.3,7449007
2016-02-01 00:00:00,4.5,4.55,3.15,3.4,2845676
2016-03-01 00:00:00,3.6,4.5,3.4,4.2,4111823
2016-04-01 00:00:00,4.2,4.95,3.7,4.1,3499177
2016-05-01 00:00:00,4.1,4.6,3.2,4.3,2745106
2016-06-01 00:00:00,4.35,4.55,3.8,4.4,4555604
2016-07-01 00:00:00,4.5,7.3,3.5,6.0,13661083
2016-08-01 00:00:00,6.0,6.5,4.7,4.85,4382701
2016-09-01 00:00:00,4.85,5.55,4.25,4.7,3410473
2016-10-01 00:00:00,4.8,5.9,4.65,5.25,4378907
2016-11-01 00:00:00,5.3,5.8,3.75,4.55,3746105
2016-12-01 00:00:00,4.45,4.75,3.8,3.95,2376534
2017-01-01 00:00:00,4.0,4.75,4.0,4.5,2490366
2017-02-01 00:00:00,4.7,5.25,4.1,4.7,3139301
2017-03-01 00:00:00,4.65,4.85,4.2,4.65,3541239
2017-04-01 00:00:00,4.8,5.5,4.4,5.05,5806719
2017-05-01 00:00:00,5.05,5.25,3.95,4.2,3554075
2017-06-01 00:00:00,4.15,4.55,3.95,4.25,1810897
2017-07-01 00:00:00,4.2,5.75,4.15,4.95,8607482
